Particle Size (nm),Particle Count (in millions),Placement of Sampling Port,Number
82,85528.4615,Upstream,1
85.1,118848.1378,Upstream,1
88.2,166746.2363,Upstream,1
91.4,255010.1578,Upstream,1
94.7,354600.5178,Upstream,1
98.2,549609.0795,Upstream,1
101.8,923985.4298,Upstream,1
105.5,1135359.623,Upstream,1
109.4,845328.6478,Upstream,1
113.4,451126.9095,Upstream,1
117.6,232331.0045,Upstream,1
121.9,147516.71,Upstream,1
82,180216.2098,Upstream,2
85.1,188371.24,Upstream,2
88.2,198334.8993,Upstream,2
91.4,247399.8985,Upstream,2
94.7,331775.598,Upstream,2
98.2,495780.771,Upstream,2
101.8,789780.335,Upstream,2
105.5,998775.4718,Upstream,2
109.4,863637.3108,Upstream,2
113.4,587491.0935,Upstream,2
117.6,364293.8215,Upstream,2
121.9,227541.565,Upstream,2
82,123366.678,Upstream,3
85.1,142220.0854,Upstream,3
88.2,183730.5472,Upstream,3
91.4,259674.5858,Upstream,3
94.7,357097.3032,Upstream,3
98.2,544981.7454,Upstream,3
101.8,910907.043,Upstream,3
105.5,1139549.715,Upstream,3
109.4,906740.3054,Upstream,3
113.4,509401.6118,Upstream,3
117.6,260456.1258,Upstream,3
121.9,155833.9908,Upstream,3
82,97524.9548,Upstream,4
85.1,127950.6638,Upstream,4
88.2,172093.835,Upstream,4
91.4,256452.014,Upstream,4
94.7,357182.6186,Upstream,4
98.2,548632.52,Upstream,4
101.8,923129.773,Upstream,4
105.5,1125039.64,Upstream,4
109.4,832758.6088,Upstream,4
113.4,449840.0416,Upstream,4
117.6,228816.6392,Upstream,4
121.9,141255.8086,Upstream,4
82,209466.2826,Upstream,5
85.1,210141.94,Upstream,5
88.2,202685.2396,Upstream,5
91.4,220449.0766,Upstream,5
94.7,263009.6552,Upstream,5
98.2,352641.1728,Upstream,5
101.8,530280.7,Upstream,5
105.5,674258.7706,Upstream,5
109.4,618671.014,Upstream,5
113.4,464014.8344,Upstream,5
117.6,325229.8218,Upstream,5
121.9,222388.0172,Upstream,5
82,6503.72925,Downstream,1
85.1,6385.4875,Downstream,1
88.2,8047.82375,Downstream,1
91.4,11052.59825,Downstream,1
94.7,14210.42375,Downstream,1
98.2,20578.9645,Downstream,1
101.8,33306.12025,Downstream,1
105.5,36760.73375,Downstream,1
109.4,26542.33575,Downstream,1
113.4,14034.5995,Downstream,1
117.6,7663.1615,Downstream,1
121.9,4607.90725,Downstream,1
82,11852.99625,Downstream,2
85.1,11166.0945,Downstream,2
88.2,10806.06625,Downstream,2
91.4,13076.874,Downstream,2
94.7,16830.23125,Downstream,2
98.2,23673.9855,Downstream,2
101.8,36977.0415,Downstream,2
105.5,42669.07075,Downstream,2
109.4,34769.08675,Downstream,2
113.4,23452.21775,Downstream,2
117.6,14856.87,Downstream,2
121.9,9398.06675,Downstream,2
82,8035.676,Downstream,3
85.1,7688.5456,Downstream,3
88.2,8810.289,Downstream,3
91.4,11587.79,Downstream,3
94.7,15834.0058,Downstream,3
98.2,23495.8774,Downstream,3
101.8,37211.1732,Downstream,3
105.5,43018.7544,Downstream,3
109.4,31060.0394,Downstream,3
113.4,17724.2348,Downstream,3
117.6,9464.5068,Downstream,3
121.9,5826.1732,Downstream,3
82,5271.1988,Downstream,4
85.1,5620.8354,Downstream,4
88.2,6950.5428,Downstream,4
91.4,9982.403,Downstream,4
94.7,13178.9492,Downstream,4
98.2,20707.5706,Downstream,4
101.8,33423.7514,Downstream,4
105.5,36623.653,Downstream,4
109.4,25502.603,Downstream,4
113.4,13710.122,Downstream,4
117.6,7270.2386,Downstream,4
121.9,4251.5492,Downstream,4
82,14251.2516,Downstream,5
85.1,12268.4174,Downstream,5
88.2,10625.6192,Downstream,5
91.4,11078.8276,Downstream,5
94.7,12678.5534,Downstream,5
98.2,17425.4244,Downstream,5
101.8,25209.7708,Downstream,5
105.5,29325.6686,Downstream,5
109.4,24556.3666,Downstream,5
113.4,17552.063,Downstream,5
117.6,12274.8856,Downstream,5
121.9,8410.12,Downstream,5
